dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,744,knn,knn,,,,,,,3138.856018,-100.591003,540.182986,0.000000,16,0.005200,32,237,16,0,0:1;1:3;2:5;3:3;4:4;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:237,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,745,knn,knn,,,,,,,2879.299133,-454.672974,450.648986,0.000000,16,0.004400,33,150,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:150,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,746,knn,knn,,,,,,,1800.333008,1342.713867,456.597991,0.000000,16,0.004500,33,140,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:140,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,747,knn,knn,,,,,,,2718.263000,188.351074,523.452029,0.000000,16,0.005200,35,452,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:5;8:5,QuadTree:35,QuadTree:452,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,748,knn,knn,,,,,,,2089.067932,1215.420898,496.630008,0.000000,16,0.004800,33,194,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:194,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,749,knn,knn,,,,,,,2085.965149,394.097046,485.050998,0.000000,16,0.004400,33,402,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:402,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,750,knn,knn,,,,,,,2567.320129,-134.099976,446.515990,0.000000,16,0.005000,33,313,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:313,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,751,knn,knn,,,,,,,1865.146973,415.149048,466.065001,0.000000,16,0.005000,33,383,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:383,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,752,knn,knn,,,,,,,1098.668945,1582.353027,434.403993,0.000000,16,0.004600,34,269,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:5,QuadTree:34,QuadTree:269,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,753,knn,knn,,,,,,,2830.390930,-211.260010,461.246001,0.000000,16,0.004500,33,182,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:182,,cpu,1337
