dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1270,radius,radius,,,,,,,0.819828,-0.656233,-0.674000,0.074587,0,0.026300,70,11148,2591,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:8;9:4;10:6;11:8;12:29,BVH:13;Octree:57,Octree:11148,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1271,radius,radius,,,,,,,0.686828,-1.260233,-1.470000,0.074587,0,0.013700,75,4292,1271,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:8;9:4;10:16;11:20;12:12,BVH:13;Octree:62,Octree:4292,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1272,radius,radius,,,,,,,9.934828,-0.919233,-1.617000,0.074587,0,0.021700,86,10571,1416,0,0:1;1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:8;9:4;10:7;11:12;12:40,BVH:13;Octree:73,Octree:10571,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1273,radius,radius,,,,,,,6.019828,-1.482233,-3.801000,0.074587,0,0.031300,47,9032,4519,0,0:1;1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:5;9:6;10:5;11:4;12:12,BVH:13;Octree:34,Octree:9032,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1274,radius,radius,,,,,,,5.440828,-1.217233,-3.634000,0.074587,0,0.037600,58,13329,4336,0,0:1;1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:5;9:6;10:15;11:4;12:13,BVH:13;Octree:45,Octree:13329,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1275,radius,radius,,,,,,,6.013828,-0.933233,-3.654000,0.074587,0,0.021600,87,11057,1874,0,0:1;1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:5;9:6;10:16;11:14;12:31,BVH:13;Octree:74,Octree:11057,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1276,radius,radius,,,,,,,5.960828,-0.687233,-3.657000,0.074587,0,0.024800,54,7323,2392,0,0:1;1:2;2:2;3:2;4:2;5:2;6:2;7:2;8:5;9:6;10:8;11:5;12:15,BVH:13;Octree:41,Octree:7323,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1277,radius,radius,,,,,,,-10.964172,-1.071233,-1.549000,0.074587,0,0.010100,47,2520,1128,0,0:1;1:2;2:1;3:1;4:2;5:2;6:1;7:3;8:6;9:5;10:8;11:5;12:10,BVH:10;Octree:37,Octree:2520,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1278,radius,radius,,,,,,,-4.238172,-1.233233,2.937000,0.074587,0,0.012600,61,4748,1126,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:7;9:4;10:8;11:8;12:19,BVH:13;Octree:48,Octree:4748,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1279,radius,radius,,,,,,,-4.226172,-1.054233,2.681000,0.074587,0,0.019200,61,6505,2610,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:7;9:4;10:8;11:14;12:13,BVH:13;Octree:48,Octree:6505,,cpu,1337
